arxiv_id,title,year,citationCount,influentialCitationCount,pagerank_score,temporal_pagerank_score,quality_pagerank_score,pagerank_rank,temporal_pagerank_rank,quality_pagerank_rank,citation_rank,year_rank,hybrid_score,rank_std,rank_temp,rank_quality,rank_citation,rank_hybrid
2401.10034,Evolutionary Computation in the Era of Large Language Model: Survey and Roadmap,2024,112,4,0.04412274416304407,0.045718673568083616,0.04404073872981386,1.0,1.0,1.0,0.87,0.755,0.9430000000000001,1,1,1,14,1
2306.13549,A Survey on Multimodal Large Language Models,2023,861,37,0.025406569080707087,0.022009848824292397,0.028489184806664684,0.99,0.98,0.99,0.95,0.43,0.922,2,3,2,6,2
2306.13394,MME: A Comprehensive Evaluation Benchmark for Multimodal Large Language Models,2023,1111,165,0.019574281632667584,0.015478993530920158,0.023292685063871013,0.97,0.95,0.98,0.97,0.43,0.914,4,6,3,4,3
2305.05658,TidyBot: Personalized Robot Assistance with Large Language Models,2023,365,16,0.016059464615436433,0.017049175757088857,0.016826040509475667,0.95,0.97,0.95,0.92,0.43,0.8945,6,4,6,9,4
2306.08568,WizardCoder: Empowering Code Large Language Models with Evol-Instruct,2023,813,110,0.015706949457511436,0.014593688929676532,0.01798825784489984,0.94,0.94,0.96,0.94,0.43,0.893,7,7,5,7,5
2204.01691,"Do As I Can, Not As I Say: Grounding Language in Robotic Affordances",2022,2424,174,0.011269641968867728,0.01082765833261233,0.011516006558161008,0.88,0.875,0.91,1.0,0.125,0.8395,10,11,10,1,6
2204.06745,GPT-NeoX-20B: An Open-Source Autoregressive Language Model,2022,921,75,0.011269641968867728,0.01082765833261233,0.011179289407929994,0.88,0.875,0.88,0.96,0.125,0.8235,10,11,13,5,7
2305.14257,Hierarchical Prompting Assists Large Language Model on Web Navigation,2023,39,2,0.013571279833573958,0.013459707640203404,0.012498675562228587,0.93,0.93,0.93,0.66,0.43,0.8125000000000001,8,8,8,32,8
2204.14146,Training Language Models with Language Feedback,2022,54,4,0.016246011532592676,0.016387068319433037,0.01610890884865629,0.96,0.96,0.94,0.72,0.125,0.8125,5,5,7,27,9
2310.05189,Factuality Challenges in the Era of Large Language Models,2023,50,1,0.011269641968867728,0.01082765833261233,0.011748129890088825,0.88,0.875,0.92,0.71,0.43,0.7995000000000001,10,11,9,28,10
2307.12114,A Zero-shot and Few-shot Study of Instruction-Finetuned Large Language Models Applied to Clinical and Biomedical Tasks,2023,39,4,0.011974672284717724,0.011925710581027963,0.011442169241171182,0.915,0.905,0.9,0.66,0.43,0.7977500000000002,9,10,11,32,11
2311.05741,Efficiently Adapting Pretrained Language Models To New Languages,2023,26,3,0.011269641968867728,0.01082765833261233,0.011385262655890476,0.88,0.875,0.89,0.6,0.43,0.7660000000000001,10,11,12,37,12
2310.02457,"The Empty Signifier Problem: Towards Clearer Paradigms for Operationalising ""Alignment"" in Large Language Models",2023,9,0,0.02259128437524264,0.022787705030680155,0.022400715131003578,0.98,0.99,0.97,0.225,0.43,0.7362500000000001,3,2,4,52,13
2306.06371,A Comprehensive Review of State-of-The-Art Methods for Java Code Generation from Natural Language Text,2023,13,0,0.011974672284717724,0.011925710581027963,0.01057170836144535,0.915,0.905,0.87,0.335,0.43,0.7105000000000001,9,10,14,48,14
2410.20238,A Survey of Large Language Models for Arabic Language and its Dialects,2024,8,0,0.011269641968867728,0.012447184579562533,0.010390153339137226,0.88,0.92,0.86,0.18,0.755,0.6965000000000001,10,9,15,53,15
2502.17419,From System 1 to System 2: A Survey of Reasoning Large Language Models,2025,153,5,0.008781457187005258,0.00885771646267708,0.00870731851823012,0.43,0.43,0.43,0.91,0.95,0.602,11,12,16,10,16
2503.21614,"A Survey of Efficient Reasoning for Large Reasoning Models: Language, Multimodality, and Beyond",2025,92,5,0.008781457187005258,0.00885771646267708,0.00870731851823012,0.43,0.43,0.43,0.85,0.95,0.587,11,12,16,16,17
2402.07841,Do Membership Inference Attacks Work on Large Language Models?,2024,142,25,0.008781457187005258,0.00885771646267708,0.00870731851823012,0.43,0.43,0.43,0.9,0.755,0.5800000000000001,11,12,16,11,18
2304.12244,WizardLM: Empowering large pre-trained language models to follow complex instructions,2023,1134,155,0.008781457187005258,0.00885771646267708,0.00870731851823012,0.43,0.43,0.43,0.98,0.43,0.5675,11,12,16,3,19
2402.12065,WKVQuant: Quantizing Weight and Key/Value Cache for Large Language Models Gains More,2024,63,3,0.008781457187005258,0.00885771646267708,0.00870731851823012,0.43,0.43,0.43,0.765,0.755,0.54625,11,12,16,23,20
2309.01446,Open Sesame! Universal Black Box Jailbreaking of Large Language Models,2023,136,7,0.008781457187005258,0.00885771646267708,0.00870731851823012,0.43,0.43,0.43,0.89,0.43,0.545,11,12,16,12,21
2402.148,Not All Experts are Equal: Efficient Expert Pruning and Skipping for Mixture-of-Experts Large Language Models,2024,60,15,0.008781457187005258,0.00885771646267708,0.00870731851823012,0.43,0.43,0.43,0.74,0.755,0.54,11,12,16,25,22
2201.07207,Language Models as Zero-Shot Planners: Extracting Actionable Knowledge for Embodied Agents,2022,1320,96,0.008781457187005258,0.00885771646267708,0.00870731851823012,0.43,0.43,0.43,0.99,0.125,0.5395,11,12,16,2,23
2309.02144,Making Large Language Models Better Reasoners with Alignment,2023,81,3,0.008781457187005258,0.00885771646267708,0.00870731851823012,0.43,0.43,0.43,0.82,0.43,0.5275000000000001,11,12,16,19,24
2205.12689,Large Language Models are Few-Shot Clinical Information Extractors,2022,402,24,0.008781457187005258,0.00885771646267708,0.00870731851823012,0.43,0.43,0.43,0.93,0.125,0.5245,11,12,16,8,25
2310.00034,PB-LLM: Partially Binarized Large Language Models,2023,72,10,0.008781457187005258,0.00885771646267708,0.00870731851823012,0.43,0.43,0.43,0.795,0.43,0.5212500000000001,11,12,16,21,26
2305.07766,NL2TL: Transforming Natural Languages to Temporal Logics using Large Language Models,2023,72,7,0.008781457187005258,0.00885771646267708,0.00870731851823012,0.43,0.43,0.43,0.795,0.43,0.5212500000000001,11,12,16,21,26
2402.09977,Fast Vocabulary Transfer for Language Model Compression,2024,39,6,0.008781457187005258,0.00885771646267708,0.00870731851823012,0.43,0.43,0.43,0.66,0.755,0.52,11,12,16,32,27
2305.18098,BigTranslate: Augmenting Large Language Models with Multilingual Translation Capability over 100 Languages,2023,65,3,0.008781457187005258,0.00885771646267708,0.00870731851823012,0.43,0.43,0.43,0.78,0.43,0.5175000000000001,11,12,16,22,28
2402.11651,Learning From Failure: Integrating Negative Examples when Fine-tuning Large Language Models as Agents,2024,33,3,0.008781457187005258,0.00885771646267708,0.00870731851823012,0.43,0.43,0.43,0.64,0.755,0.515,11,12,16,33,29
2212.06094,Prompting Is Programming: A Query Language for Large Language Models,2022,131,9,0.008781457187005258,0.00885771646267708,0.00870731851823012,0.43,0.43,0.43,0.88,0.125,0.512,11,12,16,13,30
2210.03162,Prompt Compression and Contrastive Conditioning for Controllability and Toxicity Reduction in Language Models,2022,97,3,0.008781457187005258,0.00885771646267708,0.00870731851823012,0.43,0.43,0.43,0.86,0.125,0.507,11,12,16,15,31
2308.16149,Jais and Jais-chat: Arabic-Centric Foundation and Instruction-Tuned Open Generative Large Language Models,2023,55,7,0.008781457187005258,0.00885771646267708,0.00870731851823012,0.43,0.43,0.43,0.73,0.43,0.505,11,12,16,26,32
2507.02768,DeSTA2.5-Audio: Toward General-Purpose Large Audio Language Model with Self-Generated Cross-Modal Alignment,2025,20,2,0.008781457187005258,0.00885771646267708,0.00870731851823012,0.43,0.43,0.43,0.515,0.95,0.50325,11,12,16,42,33
2209.07118,"Align, Reason and Learn: Enhancing Medical Vision-and-Language Pre-training with Knowledge",2022,90,4,0.008781457187005258,0.00885771646267708,0.00870731851823012,0.43,0.43,0.43,0.84,0.125,0.502,11,12,16,17,34
2212.11685,Text Generation with Diffusion Language Models: A Pre-training Approach with Continuous Paragraph Denoise,2022,88,9,0.008781457187005258,0.00885771646267708,0.00870731851823012,0.43,0.43,0.43,0.83,0.125,0.4995,11,12,16,18,35
2306.12174,OphGLM: Training an Ophthalmology Large Language-and-Vision Assistant based on Instructions and Dialogue,2023,43,4,0.008781457187005258,0.00885771646267708,0.00870731851823012,0.43,0.43,0.43,0.69,0.43,0.495,11,12,16,30,36
2206.08082,Self-Generated In-Context Learning: Leveraging Auto-regressive Language Models as a Demonstration Generator,2022,79,6,0.008781457187005258,0.00885771646267708,0.00870731851823012,0.43,0.43,0.43,0.81,0.125,0.49450000000000005,11,12,16,20,37
2405.19266,PediatricsGPT: Large Language Models as Chinese Medical Assistants for Pediatric Applications,2024,23,0,0.008781457187005258,0.00885771646267708,0.00870731851823012,0.43,0.43,0.43,0.55,0.755,0.49250000000000005,11,12,16,40,38
2310.00905,All Languages Matter: On the Multilingual Safety of Large Language Models,2023,40,4,0.008781457187005258,0.00885771646267708,0.00870731851823012,0.43,0.43,0.43,0.68,0.43,0.4925,11,12,16,31,39
2503.21676,"How do language models learn facts? Dynamics, curricula and hallucinations",2025,17,2,0.008781457187005258,0.00885771646267708,0.00870731851823012,0.43,0.43,0.43,0.465,0.95,0.49075,11,12,16,44,40
2204.02515,Inferring Rewards from Language in Context,2022,63,5,0.008781457187005258,0.00885771646267708,0.00870731851823012,0.43,0.43,0.43,0.765,0.125,0.48325,11,12,16,23,41
2504.07887,Benchmarking Adversarial Robustness to Bias Elicitation in Large Language Models: Scalable Automated Assessment with LLM-as-a-Judge,2025,16,0,0.008781457187005258,0.00885771646267708,0.00870731851823012,0.43,0.43,0.43,0.425,0.95,0.48075,11,12,16,45,42
2211.03263,AfroLM: A Self-Active Learning-based Multilingual Pretrained Language Model for 23 African Languages,2022,61,7,0.008781457187005258,0.00885771646267708,0.00870731851823012,0.43,0.43,0.43,0.75,0.125,0.47950000000000004,11,12,16,24,43
2305.14982,LAraBench: Benchmarking Arabic AI with Large Language Models,2023,30,4,0.008781457187005258,0.00885771646267708,0.00870731851823012,0.43,0.43,0.43,0.62,0.43,0.4775,11,12,16,35,44
2311.04124,Unveiling Safety Vulnerabilities of Large Language Models,2023,28,2,0.008781457187005258,0.00885771646267708,0.00870731851823012,0.43,0.43,0.43,0.61,0.43,0.47500000000000003,11,12,16,36,45
2310.19671,Large Language Models: The Need for Nuance in Current Debates and a Pragmatic Perspective on Understanding,2023,25,1,0.008781457187005258,0.00885771646267708,0.00870731851823012,0.43,0.43,0.43,0.585,0.43,0.46875,11,12,16,38,46
2210.04186,Analogy Generation by Prompting Large Language Models: A Case Study of InstructGPT,2022,47,8,0.008781457187005258,0.00885771646267708,0.00870731851823012,0.43,0.43,0.43,0.7,0.125,0.467,11,12,16,29,47
